track_name,artist_name,mood,Unnamed: 0,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Dil Dhadakne Do ,Joi Barua & Suraj Jagan,HAPPY,1141104,230319,2011,59,0.778,0.599,2,-4.758,1,0.032,0.0705,0.0,0.59,0.949,116.951
Ek Ladki Bheegi Bhaagi si,Kishore Kumar,HAPPY,17994,236800,1958,12,0.563,0.455,4,-7.01,0,0.0551,0.8079999999999999,0.0,0.154,0.892,120.784
Ratchet Happy Birthday,Drake,HAPPY,341436,207307,2018,52,0.657,0.571,2,-12.519,1,0.139,0.11,0.00123,0.0735,0.622,167.958
Love On ,Selena Gomez,HAPPY,1546,229080,2015,69,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02
I Know ?,Travis Scott,HAPPY,341757,156886,2018,63,0.804,0.763,2,-5.48,1,0.0519,0.0678,0.0,0.368,0.0585,136.052
Liggi,Ritviz,HAPPY,493870,181176,2021,67,0.786,0.667,5,-8.272,1,0.054,0.0112,0.053,0.074,0.688,102.046
Udd Gaye,Ritviz,HAPPY,383944,180414,2019,64,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961
Chalo Chalein,Ritviz,HAPPY,507655,184371,2021,56,0.461,0.5,1,-9.828,1,0.0614,0.00245,0.03,0.116,0.572,76.176
Baaraat,Ritviz,HAPPY,494038,222096,2021,61,0.678,0.449,4,-9.379,0,0.0869,0.477,0.0,0.536,0.606,100.033
Sage,Ritviz,HAPPY,383999,230204,2019,59,0.663,0.412,5,-8.195,0,0.364,0.00434,0.019,0.215,0.356,98.023
Aaj Na,Ritviz,HAPPY,561136,193426,2022,60,0.659,0.345,11,-8.464,1,0.107,0.106,0.0,0.107,0.338,84.761
Roz,Ritviz,HAPPY,507650,219240,2021,56,0.833,0.639,5,-6.964,1,0.0676,0.152,0.0,0.101,0.448,102.989
Jeet,Ritviz,HAPPY,398194,184848,2019,54,0.787,0.734,0,-6.465,1,0.0703,0.364,0.000995,0.0625,0.644,98.989
Thandi Hawa,Ritviz,HAPPY,507670,203077,2021,49,0.619,0.558,1,-12.15,0,0.177,0.0558,0.00935,0.16,0.514,195.004
Roshni,Ritviz,HAPPY,507681,216220,2021,46,0.585,0.625,6,-5.13,0,0.0765,0.0444,0.0,0.0376,0.666,164.066
"Thank u, next",Ariana Grande,HAPPY,321252,207320,2018,50,0.743,0.662,1,-5.745,1,0.0534,0.268,1.36e-06,0.102,0.408,107.027
As I am ,Justin Bieber,HAPPY,612555,174406,2023,0,0.595,0.543,11,-8.149,1,0.038,0.127,0.0,0.0975,0.109,99.928
Three little birds,Bob Marley and The Wailers,HAPPY,83644,180267,1977,79,0.8140000000000001,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404
"Me Gustas Tu 

",Manu Chao,HAPPY,95932,239987,2001,71,0.657,0.741,11,-6.822,0,0.0825,0.6629999999999999,0.494,0.222,0.908,175.949
I don't want to talk about it,Rod Steward,HAPPY,155640,200985,2014,31,0.586,0.718,1,-5.115,1,0.0333,0.0151,0.000253,0.0968,0.585,93.068
Namo Namo,Amit Trivedi,HAPPY,570289,201136,2022,20,0.713,0.594,2,-8.529,1,0.0292,0.321,0.0328,0.359,0.669,131.978
Dil Diyan Gallan,Atif Aslam,HAPPY,515909,260537,2021,67,0.717,0.64,2,-8.726,1,0.025,0.565,0.00139,0.127,0.485,105.021
Born to shine ,Diljit Dosanjh ,HAPPY,462312,213333,2020,67,0.745,0.826,6,-4.339,0,0.0866,0.357,0.0,0.302,0.674,90.149
Chaiyya chaiyaa,Sukhwinder singh,HAPPY,197996,319576,2015,39,0.357,0.628,0,-8.135,1,0.0612,0.55,3.61e-05,0.122,0.334,99.968
Jaag Uthe Hai Dard Purane,Nushrat fateh ali khan ,HAPPY,691320,586583,2001,0,0.401,0.792,3,-6.044,1,0.0444,0.205,4.86e-05,0.425,0.817,162.433
Sabaton,Christmas truce ,HAPPY,511786,318000,2021,48,0.327,0.94,9,-6.778,0,0.0637,0.00472,0.0,0.184,0.223,185.977
Kudi nu nachne de,Vishal ,HAPPY,462478,172382,2020,29,0.834,0.687,9,-7.494,1,0.0653,0.176,0.0,0.174,0.876,117.947
There's nothing holding me back ,Shaun Mendes,HAPPY,1761,199440,2017,0,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996
House of fun,Madness,HAPPY,131831,180067,1983,34,0.7440000000000001,0.924,7,-8.964,1,0.0478,0.234,0.0331,0.128,0.7909999999999999,128.656
La bamba,Ritchie Valens,HAPPY,297602,126960,2017,9,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099
Tere Bina,Shreya Ghoshal,HAPPY,351002,300750,2018,21,0.429,0.42,1,-7.255,1,0.0302,0.907,0.0265,0.0985,0.126,114.829
Tu Chahiye,Atif Aslam,HAPPY,197899,272680,2015,62,0.565,0.744,7,-5.817,1,0.0446,0.403,0.0,0.0853,0.415,134.068
Zindagi Aa Raha Hoon Main,Atif Aslam,HAPPY,197931,287708,2015,50,0.637,0.816,1,-6.772,1,0.0357,0.0916,2.19e-06,0.169,0.536,131.0
Hoor,Atif Aslam,HAPPY,293815,237360,2017,52,0.321,0.432,4,-7.777,1,0.0304,0.505,1.18e-05,0.278,0.366,150.148
Paniyon Sa,Atif Aslam,HAPPY,350565,236240,2018,56,0.523,0.768,0,-4.953,0,0.0566,0.447,0.000226,0.0833,0.669,75.03
Baarishein,Atif Aslam,HAPPY,406753,250922,2019,42,0.349,0.633,7,-3.233,0,0.0495,0.488,0.0,0.104,0.0869,74.635
Pehli Dafa,Atif Aslam,HAPPY,293770,298771,2017,68,0.679,0.537,4,-7.843,1,0.0322,0.844,3.34e-06,0.108,0.481,111.979
Tera Hua (Unplugged),Atif Aslam,HAPPY,350608,230005,2018,39,0.301,0.318,2,-7.046,1,0.0283,0.751,5.32e-06,0.161,0.245,103.451
Musafir,Atif Aslam,HAPPY,914255,229147,2006,27,0.644,0.879,2,-4.075,1,0.0863,0.461,3.36e-05,0.27,0.537,104.937
Dekhte Dekhte,Atif Aslam,HAPPY,351176,256271,2018,10,0.799,0.828,9,-4.846,0,0.0782,0.424,0.0,0.145,0.627,105.04
O Sathii,Atif aslam,HAPPY,350430,251819,2018,69,0.481,0.496,8,-7.421,1,0.0262,0.588,0.0,0.132,0.453,89.839
"Born to shine 
",Diljit Dosanjh ,HAPPY,462312,213333,2020,67,0.745,0.826,6,-4.339,0,0.0866,0.357,0.0,0.302,0.674,90.149
Kabhi kabhi aditi ,AR Rahman,HAPPY,38971,218836,2008,57,0.7909999999999999,0.5579999999999999,7,-7.155,0,0.0661,0.276,0.0,0.0859,0.872,95.077
Ye Dil Aur Unki,Lata Mangeshkar ,HAPPY,697692,371693,2001,2,0.304,0.29,8,-12.957,1,0.0335,0.775,0.00103,0.241,0.264,76.083
Pal Bhar Me Ye kya,Lata Mangeshkar ,HAPPY,80087,308573,1941,9,0.346,0.394,2,-9.985,1,0.0313,0.8109999999999999,0.0,0.176,0.421,122.426
Tere Liye Palko Ki,Lata Mangeshkar ,HAPPY,516242,331677,2021,26,0.526,0.461,1,-8.593,0,0.0248,0.828,0.00189,0.139,0.321,98.058
Mujhe Chhu Rahi Hai,Lata Mangeshkar ,HAPPY,128599,206627,1951,0,0.382,0.457,6,-9.404,1,0.0334,0.939,1.05e-06,0.154,0.609,79.28399999999998
Ye Mulaqat Ek Bahana,Lata Mangeshkar ,HAPPY,100633,207587,1953,9,0.276,0.266,1,-11.481,1,0.0401,0.978,0.00282,0.328,0.514,67.6
Ajnabi Kaun Ho Tum,Lata Mangeshkar ,HAPPY,146128,188133,1952,0,0.516,0.106,3,-17.439,1,0.0353,0.993,0.0615,0.142,0.593,94.175
Ye Sama Sama Hai Ye,Lata Mangeshkar ,HAPPY,2646,198573,1965,24,0.434,0.507,0,-9.478,1,0.058,0.97,0.201,0.356,0.5529999999999999,124.907
Dil Jo Na Kah Saka,Lata Mangeshkar ,HAPPY,48559,185574,1949,0,0.693,0.297,1,-10.519,0,0.0472,0.979,0.000155,0.135,0.731,122.976
Jane Kya Bat Hai,Lata Mangeshkar ,HAPPY,697031,337000,2001,13,0.565,0.302,0,-13.006,0,0.0283,0.648,3.21e-05,0.0998,0.374,93.5
212,Azealia Banks,HAPPY,1237,204956,2014,0,0.847,0.769,11,-5.761,0,0.258,0.0145,0.00012,0.0767,0.626,126.017
Bust A Move,Young MC,HAPPY,646112,265667,2000,53,0.954,0.614,4,-11.48,1,0.106,0.0816,9.25e-05,0.086,0.839,117.548
Americano,Lady Gaga,HAPPY,1122553,246533,2011,62,0.608,0.848,1,-5.086,1,0.0326,0.000622,3.93e-06,0.429,0.338,127.999
All you need is love ,Beetles,HAPPY,149123,226667,2014,51,0.364,0.483,7,-8.22,1,0.0317,0.281,1.53e-06,0.113,0.7,102.967
Rich spirit ,Kendrick Lamar,HAPPY,560206,202285,2022,76,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,0.457,95.977
Happy ,Travis Scott,HAPPY,189674,219360,2015,62,0.655,0.496,3,-4.139,0,0.0364,0.0335,0.0,0.156,0.28,137.945
Butterfly effect,Travis Scott,HAPPY,1727,190677,2017,0,0.763,0.598,11,-6.865,1,0.0539,0.0714,0.0,0.112,0.182,140.987
" Sky full of stars
",Cold play,HAPPY,1479,267866,2014,80,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97
"When we were young 
",Adelle,HAPPY,197527,290900,2015,73,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361
Raag Maluha Kalyan ,Pandit Nikhil Banerjee,HAPPY,8848,172493,2012,23,0.322,0.567,2,-8.448,1,0.0266,0.817,0.924,0.133,0.465,103.231
Angel With A Shot Gun,The Cab,HAPPY,1141905,221387,2011,60,0.546,0.837,2,-5.13,1,0.0519,0.00549,0.0,0.387,0.402,124.007
Sweet Child O Mine ,GNR,HAPPY,1052669,347627,2009,27,0.513,0.497,2,-8.11,1,0.0279,0.311,6.65e-05,0.207,0.167,114.418
Shape of you,Ed Sheeran,HAPPY,1700,233712,2017,84,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977
All I wanna do,Sheryl Crowe,HAPPY,85271,272107,1993,67,0.82,0.528,9,-11.179,1,0.0321,0.111,0.0186,0.257,0.931,120.091
Sunroof ,Nicky Youre,HAPPY,515566,163026,2021,85,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443
Somewhere over the rainbow,Israel Kamakawiwoole,HAPPY,86085,211933,2001,71,0.6709999999999999,0.153,0,-13.569,1,0.0404,0.912,5.53e-05,0.0771,0.6579999999999999,85.6
How you like that ,Blackpink,HAPPY,456850,182956,2020,75,0.812,0.761,11,-5.222,1,0.0812,0.0465,0.000135,0.0601,0.344,130.032
Perfect Symphony,Ed Sheeran ,HAPPY,1709,263400,2017,85,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05
Dheere dheere,Yo yo honey singh,HAPPY,189406,212413,2015,65,0.73,0.58,0,-7.976,1,0.124,0.0399,2.48e-05,0.0703,0.55,167.915
Walking on sunshine ,Katrina and the waves,HAPPY,84444,238733,1985,78,0.596,0.8690000000000001,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902
Dancing queen ,Abba,HAPPY,40438,233440,2012,62,0.508,0.825,9,-9.627,1,0.0451,0.175,0.00133,0.376,0.715,100.548
Jaan,Sonu Nigam ,HAPPY,697115,308467,2001,19,0.546,0.539,0,-11.922,1,0.208,0.393,0.0,0.256,0.557,173.994
the way i are,Timbaland,HAPPY,708,179120,2007,80,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759
Happier,Ed Sheeran ,HAPPY,293501,207520,2017,78,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792
Humnava mere,Jubin Nautiyal ,HAPPY,345015,328992,2018,70,0.401,0.553,5,-8.263,0,0.0337,0.47,2.96e-06,0.124,0.364,79.144
Blinding lights,The Weekend ,HAPPY,461991,200040,2020,90,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
Skinny Love,Birdy,SAD,31279,201080,2011,60,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.1689999999999999,166.467
I Lost a Friend,FINNEAS,SAD,384350,237020,2019,65,0.453,0.208,11,-11.917,1,0.22,0.585,0.0,0.119,0.218,169.326
listen before i go,Billie Eilish,SAD,406393,242652,2019,75,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764
Irreplaceable,Zak Manley,SAD,309506,189634,2018,50,0.528,0.238,10,-9.613,1,0.0847,0.62,0.0,0.12,0.736,152.702
i love you,Billie Eilish,SAD,406386,291796,2019,78,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446
goodbye,Billie Eilish,SAD,406472,119410,2019,68,0.153,0.138,6,-21.877,0,0.0503,0.837,0.55,0.254,0.0503,74.318
idontwannabeyouanymore,Billie Eilish,SAD,271630,203569,2017,79,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163
lovely (with Khalid),"Billie Eilish, Khalid",SAD,87747,200186,2018,89,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
Out Of Love,Alessia Cara,SAD,327783,227693,2018,70,0.481,0.267,7,-9.249,1,0.0339,0.8,0.0,0.249,0.137,117.64
Bad Habit,Ben Platt,SAD,414515,262760,2019,46,0.339,0.495,5,-6.374,1,0.0325,0.379,0.0,0.102,0.121,134.336
Words Fail,Ben Platt,SAD,301993,351920,2017,51,0.368,0.237,0,-9.49,1,0.0389,0.792,0.0,0.122,0.328,95.871
The Night We Met,Lord Huron,SAD,87447,208212,2015,75,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.6409999999999999,0.1,86.99700000000001
Apocalypse,Cigarettes After Sex,SAD,255746,290147,2017,81,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473
Get You The Moon (feat. SnÃ¸w),"Kina, SnÃ¸w",SAD,87772,179080,2018,85,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917
Can We Kiss Forever?,"Kina, Adriana Proenza",SAD,97549,187932,2018,84,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986
Someone You Loved,Lewis Capaldi,SAD,1910,182160,2019,84,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
Daddy Issues,The Neighbourhood,SAD,1512,260173,2015,85,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012
Dead and Cold,SadBoyProlific,SAD,355339,89625,2018,72,0.622,0.467,2,-9.889,0,0.568,0.872,2.15e-06,0.0931,0.716,87.967
Alone,Lund,SAD,220131,254000,2016,50,0.741,0.354,2,-15.505,1,0.0812,0.656,0.702,0.384,0.037,120.018
R.I.P. (feat. Trippie Redd),"Joji, Trippie Redd",SAD,144089,158726,2018,68,0.716,0.515,11,-9.651,0,0.0305,0.618,0.257,0.136,0.383,99.284
Clocks,Coldplay,SAD,269,307879,2002,79,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97
Give Me Love,Ed Sheeran,SAD,1147468,526387,2011,69,0.526,0.328,1,-9.864,1,0.0461,0.694,0.0,0.112,0.11,116.068
Berlin,RY X,SAD,232743,174172,2016,57,0.393,0.0668,7,-20.755,1,0.0404,0.963,0.105,0.107,0.0384,136.938
Over My Head (Cable Car),The Fray,SAD,252134,238067,2016,29,0.592,0.705,8,-4.151,1,0.0471,0.0228,0.0,0.0607,0.697,116.051
Need You Now,Dean Lewis,SAD,293728,203263,2017,51,0.601,0.317,10,-8.945,1,0.0497,0.911,0.0,0.181,0.381,137.95
all the kids are depressed,Jeremy Zucker,SAD,327780,169973,2018,72,0.773,0.437,9,-8.281,1,0.0963,0.836,2.42e-05,0.544,0.707,103.861
Last Time,Anson Seabra,SAD,415553,226323,2019,23,0.546,0.138,3,-14.458,1,0.0665,0.922,1.45e-06,0.105,0.529,136.073
All I Want,Kodaline,SAD,93575,305747,2013,79,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376
All I Want,"Olivia Rodrigo, Disney",SAD,462056,177323,2020,72,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599
Coaster,Khalid,SAD,87697,199120,2017,76,0.441,0.219,8,-14.586,1,0.0419,0.935,0.0,0.115,0.244,94.021
8 Letters,Why Don't We,SAD,321099,190027,2018,73,0.607,0.478,1,-5.702,0,0.031,0.649,0.0,0.0928,0.255,88.979
Dancing On My Own,Calum Scott,SAD,350213,260285,2018,79,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672
If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",SAD,87859,208687,2019,89,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801
everything i wanted,Billie Eilish,SAD,384323,245426,2019,83,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006
Mind Over Matter,Young the Giant,SAD,109698,244693,2014,69,0.466,0.763,0,-4.448,1,0.0318,0.000501,0.0,0.0973,0.293,154.914
Ghosts,BANNERS,SAD,245795,250600,2016,47,0.514,0.312,0,-7.863,1,0.0264,0.217,0.0,0.065,0.0682,77.02
Atlas: Touch,Sleeping At Last,SAD,163900,253892,2015,46,0.398,0.0933,0,-11.879,1,0.0442,0.958,4.63e-06,0.0893,0.185,81.76
Yours,Russell Dickerson,SAD,263910,216960,2017,64,0.554,0.722,11,-6.005,1,0.034,0.119,0.0,0.0861,0.558,134.058
That's Us,Anson Seabra,SAD,415242,270462,2019,35,0.621,0.108,10,-15.399,1,0.0493,0.968,1.67e-05,0.137,0.204,129.285
Look After You,The Fray,SAD,252006,268293,2016,38,0.431,0.591,6,-3.02,0,0.0322,0.0599,2.91e-06,0.0981,0.274,77.993
Waves,Dean Lewis,SAD,406440,240013,2019,74,0.518,0.729,11,-7.193,0,0.0452,0.183,0.0,0.0643,0.343,156.879
Worst of You,Maisie Peters,SAD,342926,197369,2018,59,0.741,0.466,4,-7.258,1,0.0357,0.558,0.0,0.0583,0.351,102.058
Silhouette,Aquilo,SAD,273443,230417,2017,59,0.234,0.414,1,-8.371,1,0.0476,0.702,0.0,0.0391,0.144,78.216
Before You Go,Lewis Capaldi,SAD,406375,215107,2019,83,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881
Medicine,Daughter,SAD,40376,258973,2012,60,0.216,0.301,3,-12.464,1,0.0294,0.105,0.219,0.563,0.202,79.869
Gum,Moose Blood,SAD,127047,181387,2014,53,0.501,0.667,4,-6.196,1,0.0284,0.00848,0.0,0.281,0.283,82.522
NYLA,blackbear,SAD,384597,252097,2019,39,0.555,0.185,9,-11.521,1,0.0344,0.37,0.0,0.469,0.188,119.418
Cherry,Moose Blood,SAD,127062,159711,2014,49,0.372,0.247,4,-12.633,1,0.0336,0.896,0.00162,0.082,0.241,181.763
worldstar money (interlude),Joji,SAD,47834,126312,2018,62,0.5770000000000001,0.387,7,-8.607000000000001,1,0.274,0.964,0.705,0.208,0.459,146.565
It's Ok,Tom Rosenthal,SAD,155104,191352,2014,68,0.561,0.111,8,-15.11,0,0.0324,0.871,0.205,0.103,0.0607,148.191
better off,"Jeremy Zucker, Chelsea Cutler",SAD,116474,193947,2018,73,0.708,0.322,8,-12.46,0,0.0371,0.747,9.24e-05,0.1369999999999999,0.46,98.892
Palace,Sam Smith,SAD,39924,187157,2017,58,0.345,0.193,6,-10.236,0,0.0328,0.74,4.2e-06,0.117,0.268,77.547
In My Head,Peter Manos,SAD,144046,214533,2018,71,0.499,0.181,9,-15.359000000000002,0,0.0429,0.745,0.00123,0.106,0.0747,111.956
Wait,M83,SAD,1131809,343253,2011,61,0.437,0.229,2,-10.514,1,0.0308,0.221,0.0599,0.0935,0.0754,147.911
K.,Cigarettes After Sex,SAD,215605,319560,2016,47,0.454,0.404,3,-10.26,1,0.027,0.146,0.819,0.141,0.313,94.113
Seigfried,Frank Ocean,SAD,116289,334570,2016,66,0.377,0.255,4,-11.165,0,0.0387,0.975,0.000208,0.102,0.37,125.004
Mystery of Love,Sufjan Stevens,SAD,293572,248965,2017,57,0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285
Leray,Trippie Redd,SAD,161331,122707,2019,66,0.774,0.195,4,-12.233,1,0.087,0.789,0.00103,0.109,0.369,132.847
Vas,jagger finn,SAD,406382,90324,2019,76,0.514,0.424,0,-10.645,1,0.0282,0.918,0.849,0.126,0.416,71.114
I Still Love You,Phora,SAD,608694,325969,2023,32,0.623,0.634,10,-6.675,0,0.0372,0.571,0.00376,0.255,0.69,169.975
If You Want Love,NF,SAD,284844,199387,2017,74,0.551,0.386,0,-10.22,1,0.132,0.659,0.0,0.125,0.245,116.409
Two Ghosts,Harry Styles,SAD,293530,229813,2017,70,0.386,0.407,6,-7.095,0,0.0268,0.234,1.86e-06,0.0999,0.456,69.387
Life is Beautiful,Lil Peep,SAD,328656,207587,2018,70,0.533,0.638,10,-9.411,1,0.0636,0.0385,0.000932,0.0758,0.324,135.056
Honesty,Pink Sweat$,SAD,483669,189000,2021,67,0.66,0.139,6,-16.339,0,0.0323,0.964,1.1e-05,0.105,0.312,79.975
Leave,Post Malone,SAD,106922,324853,2016,67,0.535,0.55,4,-7.249,1,0.0229,0.246,0.000105,0.124,0.619,90.086
One Day,Tate McRae,SAD,97466,202496,2017,76,0.52,0.119,0,-12.148,1,0.0407,0.922,0.0,0.0883,0.355,69.217
Trying My Best,Anson Seabra,SAD,415224,222468,2019,37,0.691,0.0682,5,-18.186,1,0.0645,0.951,0.0,0.0916,0.352,76.94
Girl Crush,Little Big Town,SAD,118813,193320,2014,67,0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788
Please Notice,Christian Leave,SAD,245689,116667,2016,70,0.55,0.271,2,-8.451,1,0.0297,0.843,3.21e-06,0.107,0.198,111.344
Worthy Of You,Plested,SAD,329675,190619,2018,48,0.451,0.452,1,-9.363,0,0.0574,0.439,0.0,0.478,0.386,57.523
How Could You Leave Us,NF,SAD,243968,322587,2016,65,0.536,0.708,6,-7.882,1,0.758,0.513,0.0,0.0951,0.09,78.33
Heather,Conan Gray,SAD,461994,198040,2020,85,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078
Moral of the Story (feat. Niall Horan),"Ashe, Niall Horan",SAD,439878,198515,2020,63,0.599,0.374,10,-8.896,1,0.0385,0.495,0.0,0.221,0.224,119.9
feel something,Bea Miller,SAD,377738,180161,2019,66,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029
Teenage Mind,Tate McRae,SAD,350242,155205,2018,68,0.671,0.335,4,-9.719,0,0.0605,0.756,1.85e-06,0.109,0.115,119.369
Chosen Last,Sara Kays,SAD,454930,226847,2020,52,0.652,0.546,11,-6.497,1,0.0264,0.666,2.28e-06,0.112,0.264,99.03
As the World Caves In,Matt Maltese,SAD,273419,218755,2017,70,0.331,0.45,10,-5.362,1,0.034,0.365,0.00464,0.22,0.18,123.829
Mr Loverman,Ricky Montgomery,SAD,245684,216880,2016,76,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033
Selfish,Madison Beer,SAD,462188,223270,2020,61,0.375,0.461,9,-6.202,1,0.0279,0.627,0.0,0.386,0.233,75.217
Tequila,Dan + Shay,SAD,320115,196747,2018,69,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016
Portland Nights,Genevieve Stokes,SAD,508968,101285,2021,48,0.368,0.112,0,-16.447,1,0.0595,0.986,0.000347,0.101,0.264,75.157
