track_name,artist_name,mood,Unnamed: 0,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Arcade,Duncan Laurence,SAD,406428,183624,2019,77,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884
I've Given Up on You,Real Friends,SAD,73689,164000,2013,53,0.527,0.377,5,-9.762,1,0.0253,0.563,0.0,0.0799,0.313,143.977
Break My Heart Again,FINNEAS,SAD,107136,238013,2018,76,0.402,0.151,4,-14.227,0,0.0395,0.907,0.0,0.0941,0.483,144.293
Hung up on You,Tate McRae,SAD,77694,201256,2017,59,0.6729999999999999,0.285,9,-9.69,0,0.0565,0.7559999999999999,2.05e-06,0.0733,0.123,79.002
You Broke My Heart Again,"Teqkoi, Aiko",SAD,116443,103400,2018,74,0.451,0.143,3,-15.685,1,0.235,0.956,0.0,0.195,0.233,149.509
"I'm Sorry, I'm Trying","nothing,nowhere.",SAD,231911,204964,2016,50,0.615,0.521,2,-8.849,1,0.0483,0.31,1.6e-06,0.0978,0.182,139.438
Dear Society,Madison Beer,SAD,377869,179577,2019,57,0.651,0.594,7,-6.374,0,0.0491,0.163,0.0,0.133,0.416,145.942
Sober,Demi Lovato,SAD,350298,197893,2018,64,0.397,0.303,1,-10.413,1,0.11,0.798,4.16e-06,0.0824,0.17,170.22
Falling For Boys,Julia Michaels,SAD,378226,183720,2019,45,0.646,0.485,0,-6.647,1,0.0829,0.501,0.0,0.121,0.408,148.13
Jealous,Labrinth,SAD,87358,287693,2014,79,0.435,0.155,1,-8.948,1,0.046,0.873,0.0,0.107,0.0935,128.532
Atlantis,Seafret,SAD,232723,229173,2016,85,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159
Happiest Year,Jaymes Young,SAD,107146,228443,2019,79,0.501,0.1669999999999999,1,-14.061,1,0.0484,0.885,0.0,0.111,0.356,112.275
December,Neck Deep,SAD,197631,218955,2015,70,0.542,0.439,2,-7.728,1,0.0272,0.626,0.0,0.109,0.466,144.949
you were good to me,"Jeremy Zucker, Chelsea Cutler",SAD,107139,219147,2019,78,0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128
Falling,Harry Styles,SAD,406378,240133,2019,82,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011
July,Noah Cyrus,SAD,88028,156106,2020,83,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541
Bruises,Lewis Capaldi,SAD,406387,220492,2019,79,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202
tear myself apart,Tate McRae,SAD,16045,168547,2019,69,0.478,0.504,9,-6.91,0,0.0305,0.162,0.0,0.119,0.309,86.04799999999999
scared,Jeremy Zucker,SAD,135356,207520,2019,74,0.583,0.075,5,-15.843,1,0.0726,0.933,1.4e-06,0.111,0.347,108.418
Ease My Mind,Ben Platt,SAD,414509,276800,2019,45,0.38,0.257,7,-8.4,1,0.0322,0.544,0.0,0.117,0.112,146.174
"I miss you, Iâm sorry",Gracie Abrams,SAD,462026,167538,2020,75,0.445,0.455,7,-6.405,1,0.0575,0.731,1.47e-06,0.124,0.151,109.885
3:00 AM,Finding Hope,SAD,260306,201951,2017,63,0.55,0.147,0,-18.675,0,0.0404,0.563,0.00102,0.286,0.0346,81.991
Temporary Love,Ben Platt,SAD,414523,218827,2019,44,0.634,0.505,0,-7.753,0,0.0341,0.506,1.8e-06,0.116,0.136,89.045
ghostin,Ariana Grande,SAD,350391,271467,2018,54,0.396,0.358,9,-8.294,1,0.0292,0.422,1.71e-05,0.19,0.111,103.807
the broken hearts club,gnash,SAD,135369,184695,2019,72,0.62,0.288,4,-9.431,1,0.123,0.8009999999999999,0.0,0.37,0.691,100.385
drivers license,Olivia Rodrigo,SAD,515574,242013,2021,84,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875
Your Power,Billie Eilish,SAD,494166,245897,2021,73,0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642
traitor,Olivia Rodrigo,SAD,515570,229227,2021,84,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607
A Soulmate Who Wasnât Meant to Be,Jess Benko,SAD,415098,316556,2019,67,0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43e-06,0.322,0.087,124.209
Lonely,Noah Cyrus,SAD,462077,144377,2020,67,0.53,0.281,5,-8.274,1,0.0577,0.798,0.0,0.0928,0.341,122.442
Already Gone,Sleeping At Last,SAD,163867,240791,2015,53,0.447,0.206,3,-11.75,1,0.0519,0.956,4.56e-06,0.107,0.327,66.734
Coffee Cups and Cigarettes,Tomo,SAD,441671,207598,2020,56,0.459,0.063,8,-14.446,1,0.0366,0.995,0.803,0.108,0.15,131.704
Don't Watch Me Cry,Jorja Smith,SAD,63043,190430,2018,69,0.5589999999999999,0.157,1,-10.132,1,0.0414,0.887,0.0,0.107,0.348,130.877
champagne problems,Taylor Swift,SAD,462008,244000,2020,76,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,Taylor Swift,SAD,515859,598150,2021,60,0.585,0.286,0,-10.123,1,0.0312,0.838,0.0,0.115,0.189,93.009
Love In The Dark,Adele,SAD,197521,285935,2015,75,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821
Matilda,Harry Styles,SAD,569219,245964,2022,81,0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,0.386,114.199
Glimpse of Us,Joji,SAD,569204,233456,2022,85,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914
If By Chance,Ruth B.,SAD,293570,303653,2017,68,0.405,0.279,10,-8.099,1,0.0334,0.881,0.0,0.0933,0.256,119.85
Dancing With Your Ghost,Sasha Alex Sloan,SAD,384327,197732,2019,78,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953
i luv him.,Catie Turner,SAD,399220,225824,2019,54,0.647,0.176,0,-9.501,1,0.0751,0.854,0.0,0.199,0.441,122.795
Mean It,Gracie Abrams,SAD,406662,171139,2019,59,0.562,0.304,9,-9.504,0,0.0595,0.846,1.34e-06,0.1,0.128,123.078
Perfectly Wrong,Shawn Mendes,SAD,350359,212773,2018,63,0.361,0.311,2,-11.748,0,0.0369,0.872,0.0,0.0987,0.323,89.362
Broken,Anson Seabra,SAD,415251,305676,2019,32,0.481,0.0759,6,-14.2,1,0.0601,0.956,0.0,0.154,0.234,98.979
Say,Ruel,SAD,327814,227434,2018,57,0.617,0.315,3,-7.998,1,0.0326,0.771,0.0,0.0809,0.447,119.822
Tattoos,ReneÃ© Rapp,SAD,562005,173026,2022,63,0.54,0.401,11,-4.982,1,0.0536,0.623,0.0,0.437,0.354,84.417
I Can't Carry This Anymore,Anson Seabra,SAD,415100,200000,2019,61,0.451,0.0873,3,-16.815,1,0.063,0.907,2.46e-06,0.355,0.456,166.603
IDK You Yet,Alexander 23,SAD,462028,184638,2020,74,0.648,0.308,1,-11.729,1,0.04,0.886,0.0774,0.124,0.198,76.997
What A Time (feat. Niall Horan),"Julia Michaels, Niall Horan",SAD,116545,173307,2019,77,0.518,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.85399999999998
Forever,Lewis Capaldi,SAD,406429,210863,2019,74,0.646,0.355,1,-7.119,1,0.0263,0.873,0.0,0.115,0.364,84.988
Lookalike,Conan Gray,SAD,350237,220867,2018,69,0.434,0.302,10,-10.117,1,0.0378,0.766,7.63e-06,0.149,0.173,121.645
Changes,Hayd,SAD,524068,214815,2021,65,0.624,0.115,6,-17.139,1,0.0446,0.941,3.47e-05,0.11,0.287,120.198
Water Fountain,Alec Benjamin,SAD,327775,218893,2018,75,0.723,0.504,8,-5.572,1,0.0392,0.388,7.4e-05,0.087,0.551,133.975
Complicated,Olivia O'Brien,SAD,197592,189000,2015,67,0.657,0.355,7,-12.044,1,0.0714,0.694,0.000427,0.123,0.0808,74.99
Wrong Direction,Hailee Steinfeld,SAD,462184,248987,2020,63,0.39,0.388,10,-9.017,1,0.0355,0.472,0.0,0.157,0.187,72.934
Remember That Night?,Sara Kays,SAD,454756,227186,2020,72,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978
Hard Sometimes,Ruel,SAD,406599,269493,2019,61,0.407,0.317,10,-7.895,1,0.0429,0.845,2.66e-06,0.139,0.216,81.899
Castle of Glass ,Linkin Park,SAD,36380,205400,2012,73,0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0
Someone Like You ,Adele,SAD,1182,285240,2011,4,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047
Kya Huya Tera Wada,Mohd. Rafi,SAD,570313,184911,2022,9,0.483,0.386,5,-12.31,1,0.0331,0.602,1.04e-05,0.393,0.148,97.841
Kal Ho Na Ho,Sonu Nigam,SAD,914300,323268,2006,26,0.566,0.532,0,-8.359,1,0.0335,0.32,7.2e-05,0.0912,0.311,82.093
Rosyln ,Bon Iver ,SAD,1037497,289560,2009,74,0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719
All the tires horses ,Lisa O'Nell,SAD,578194,192000,2022,45,0.334,0.206,11,-11.941,0,0.0363,0.895,0.00886,0.116,0.128,102.34
Runaway ,Kanye West,SAD,86967,547733,2010,72,0.5710000000000001,0.568,1,-3.827,0,0.0703,0.218,0.0021,0.512,0.109,86.986
"Tu Na Jaane Aas Paas Hai Khuda
",Rahat Fateh Ali Khan,SAD,294530,319116,2017,9,0.556,0.706,5,-5.709,1,0.0336,0.335,1.8e-06,0.137,0.726,80.008
Humko Kiske Gham Ne Maara ,Ghulam Ali Khan,SAD,197974,438204,2015,26,0.391,0.48,5,-11.934,0,0.0324,0.919,0.0156,0.768,0.771,100.761
Ronan,Taylor Swift,SAD,462195,220040,2020,61,0.676,0.178,8,-15.01,1,0.0394,0.964,7.9e-06,0.135,0.404,118.84
Tu jo rutha,Arijit Singh,SAD,197962,308485,2015,50,0.612,0.782,2,-6.848,1,0.0702,0.28,0.0,0.187,0.6,85.967
Zindagi ek safar,Kishore Kumar ,SAD,65602,239533,1970,25,0.36,0.404,7,-9.475,0,0.0301,0.924,0.000892,0.234,0.349,106.711
Zindagi ek safar hai suhana  ,Kishore Kumar ,SAD,293810,260400,2017,34,0.546,0.745,5,-9.557,0,0.0927,0.86,0.0226,0.385,0.791,118.072
Stairway to heaven ,led Zeppelin ,SAD,603435,482830,2023,14,0.339,0.34,7,-12.049,1,0.034,0.582,0.00297,0.116,0.198,83.495
Some nights ,FUN,SAD,40353,277040,2012,68,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938
Ek pyar ka nagama hai ,Lata mangeshkar ,SAD,50854,355453,1972,27,0.384,0.383,2,-10.866,1,0.0331,0.835,0.000214,0.452,0.486,96.961
Musafir,Atif Aslam,SAD,914255,229147,2006,27,0.644,0.879,2,-4.075,1,0.0863,0.461,3.36e-05,0.27,0.537,104.937
Tere naam,Udit narayan ,SAD,782920,393707,2003,55,0.489,0.767,4,-8.309,1,0.138,0.645,0.000482,0.108,0.556,175.877
Kal ho naa ho,Sonu Nigam ,SAD,914300,323268,2006,26,0.566,0.532,0,-8.359,1,0.0335,0.32,7.2e-05,0.0912,0.311,82.093
Pluto projector ,Rex Orange County,SAD,406389,267520,2019,76,0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786
Coldplay,Chris Martin,SAD,735341,369240,2002,0,0.672,0.769,9,-4.735,0,0.0319,0.743,0.0,0.141,0.71,114.604
"Ek pyar ka naghma hai
",Lata Mangeshkar ,SAD,50854,355453,1972,27,0.384,0.383,2,-10.866,1,0.0331,0.835,0.000214,0.452,0.486,96.961
Breakeven,The Script,SAD,981708,261427,2008,72,0.63,0.696,10,-4.501,1,0.0242,0.144,0.0,0.0835,0.491,94.034
Watch Over You ,Alter Bridge,SAD,585183,259133,2023,0,0.172,0.656,7,-5.421,1,0.0368,0.0837,0.000503,0.161,0.128,172.33
Numb,Linkin Park,SAD,416,185586,2003,81,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018
No surprises  ,Radiohead,SAD,85717,229120,1997,71,0.255,0.393,5,-10.654000000000002,1,0.0278,0.0577,0.00361,0.113,0.118,76.426
Teri Yaadon mein,KK ,SAD,914181,287213,2006,55,0.576,0.735,11,-5.811,0,0.0352,0.0233,0.00118,0.188,0.301,105.058
Pehli Nazar Mein,Atif aslam,SAD,1007802,312893,2008,69,0.488,0.57,9,-5.602,1,0.0775,0.251,0.0,0.107,0.668,169.702
You Can't Take Me,Bryan Adams ,SAD,739396,176493,2002,55,0.5,0.729,4,-7.274,0,0.0314,0.141,2.07e-06,0.128,0.441,160.161
Please forgive me ,Bryan Adams ,SAD,869119,355640,2005,52,0.587,0.456,9,-7.011,1,0.0262,0.516,0.0,0.104,0.144,134.11
He Stopped Loving Her Today,George Jones,SAD,758853,195760,2003,20,0.346,0.208,8,-14.705,1,0.0343,0.777,9.09e-05,0.244,0.382,144.134
Memories,Maroon 5,SAD,515583,189486,2021,84,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05
Skinny Love,Bon Iver & St. Vincent,SAD,86863,289560,2009,71,0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719
listen before i go,FINNEAS,SAD,406271,229625,2019,22,0.425,0.0117,9,-24.166,0,0.0751,0.996,0.961,0.104,0.131,205.213
lovely (with Khalid),Billie Eilish,SAD,1819,200185,2018,86,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
Out Of Love,"Billie Eilish, Khalid",SAD,1819,200185,2018,86,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
Can We Kiss Forever?,"Kina, SnÃ¸w",SAD,355344,187932,2018,74,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986
Alone,SadBoyProlific,SAD,355342,160061,2018,65,0.874,0.358,9,-13.642,1,0.459,0.494,0.00196,0.336,0.437,119.091
R.I.P. (feat. Trippie Redd),Lund,SAD,350271,158726,2018,62,0.716,0.515,11,-9.651,0,0.0305,0.618,0.257,0.136,0.383,99.284
Berlin,Ed Sheeran,SAD,293641,191147,2017,64,0.747,0.76,1,-4.294,1,0.187,0.448,0.0,0.153,0.682,99.975
all the kids are depressed,Dean Lewis,SAD,1011994,129808,2008,5,0.484,0.299,4,-14.984,1,0.281,0.941,0.892,0.311,0.565,103.845
All I Want,Anson Seabra,SAD,1061202,233960,2009,36,0.604,0.622,7,-7.782,1,0.0469,0.0943,0.00577,0.204,0.424,126.238
If the World Was Ending (feat. Julia Michaels),Calum Scott,SAD,406415,208687,2019,76,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801
Ghosts,Young the Giant,SAD,110000,250747,2014,37,0.68,0.861,6,-4.547,0,0.0467,0.00284,5.79e-05,0.181,0.819,123.995
Yours,Sleeping At Last,SAD,57910,259915,2013,14,0.187,0.216,10,-18.329,1,0.0396,0.867,0.95,0.0611,0.0383,135.485
Always,Russell Dickerson,SAD,264435,198000,2017,34,0.548,0.772,1,-4.948,1,0.0553,0.0771,0.0,0.21,0.594,160.075
Waves,The Fray,SAD,998259,272547,2008,15,0.0973,0.914,2,-3.247,1,0.0564,3.08e-05,0.711,0.122,0.0998,186.179
Silhouette,Maisie Peters,SAD,455225,157940,2020,46,0.731,0.649,7,-3.651,1,0.114,0.315,0.0,0.121,0.412,137.9
Medicine,Lewis Capaldi,SAD,293741,219813,2017,60,0.628,0.57,6,-7.99,1,0.0375,0.0707,0.0,0.182,0.369,96.129
Gum,Daughter,SAD,40582,258973,2012,43,0.676,0.424,7,-11.845,0,0.0259,0.273,0.142,0.116,0.255,103.609
NYLA,Moose Blood,SAD,232420,189973,2016,24,0.618,0.869,6,-5.08,1,0.0329,0.000189,0.000835,0.0892,0.689,110.014
Palace,"Jeremy Zucker, Chelsea Cutler",SAD,55486,219067,2019,67,0.718,0.166,6,-15.82,0,0.0344,0.887,0.0216,0.131,0.237,97.947
Seigfried,Cigarettes After Sex,SAD,368590,254627,2019,53,0.521,0.211,6,-13.489,0,0.0324,0.544,0.836,0.101,0.0412,134.285
Mystery of Love,Frank Ocean,SAD,967185,215373,2007,0,0.441,0.169,0,-13.483,1,0.0262,0.682,0.0,0.344,0.0873,86.863
Leray,Sufjan Stevens,SAD,831956,168733,2004,18,0.427,0.229,6,-15.19,1,0.0319,0.824,0.828,0.394,0.211,129.412
If You Want Love,Phora,SAD,284844,199387,2017,74,0.551,0.386,0,-10.22,1,0.132,0.659,0.0,0.125,0.245,116.409
Honesty,Lil Peep,SAD,272539,128680,2017,62,0.545,0.771,9,-6.411,1,0.0469,7.26e-05,8.47e-06,0.101,0.357,158.262
Leave,Pink Sweat$,SAD,483883,169749,2021,50,0.78,0.389,6,-8.877,0,0.0776,0.491,0.00242,0.0699,0.188,121.919
How Could You Leave Us,Plested,SAD,243968,322587,2016,65,0.536,0.708,6,-7.882,1,0.758,0.513,0.0,0.0951,0.09,78.33
Heather,NF,SAD,55284,259107,2016,56,0.446,0.363,1,-10.014,1,0.0783,0.516,2.03e-06,0.374,0.0362,126.772
As the World Caves In,Sara Kays,SAD,273419,218755,2017,70,0.331,0.45,10,-5.362,1,0.034,0.365,0.00464,0.22,0.18,123.829
Selfish,Ricky Montgomery,SAD,245743,276467,2016,55,0.592,0.649,8,-5.724,1,0.0292,0.316,0.0,0.112,0.409,149.95
Break My Heart Again,Real Friends,SAD,107136,238013,2018,76,0.402,0.151,4,-14.227,0,0.0395,0.907,0.0,0.0941,0.483,144.293
You Broke My Heart Again,Tate McRae,SAD,316551,103400,2018,66,0.55,0.143,3,-15.685,1,0.241,0.956,0.0,0.195,0.224,74.918
Blackout,Madison Beer,SAD,488276,229882,2021,53,0.64,0.501,7,-7.86,1,0.0624,0.15,0.0,0.16,0.346,114.031
ghostin,Ben Platt,SAD,414540,229573,2019,39,0.455,0.48,0,-5.583,1,0.0321,0.537,0.0,0.15,0.203,150.066
drivers license,gnash,SAD,518627,237644,2021,53,0.598,0.787,10,-4.695,1,0.0548,0.0175,0.0,0.0887,0.298,144.021
A Soulmate Who Wasnât Meant to Be,FINNEAS,SAD,415098,316556,2019,67,0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43e-06,0.322,0.087,124.209
Lonely,Jess Benko,SAD,415181,295008,2019,39,0.682,0.0907,0,-16.591,1,0.0402,0.987,0.0106,0.0681,0.215,117.876
Arcade,Sleeping At Last,SAD,110678,292415,2014,42,0.0802,0.366,0,-11.943,1,0.0333,0.376,0.932,0.141,0.0373,81.344
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,The Wild Conductor,SAD,515859,598150,2021,60,0.585,0.286,0,-10.123,1,0.0312,0.838,0.0,0.115,0.189,93.009
Love In The Dark,Taylor Swift,SAD,146801,267107,2014,64,0.474,0.48,2,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109
Mean It,Catie Turner,SAD,399223,207837,2019,53,0.361,0.177,11,-12.023,0,0.0346,0.927,0.0,0.0911,0.32,113.36
Broken,Shawn Mendes,SAD,433835,214751,2020,51,0.492,0.672,2,-6.779,1,0.0366,0.539,0.000212,0.116,0.229,140.027
Lookalike,Lewis Capaldi,SAD,406537,179908,2019,66,0.708,0.339,9,-7.085,1,0.0409,0.834,0.0,0.128,0.512,117.995
Changes,Conan Gray,SAD,111613,476467,2014,25,0.298,0.641,8,-12.499,1,0.0365,0.0165,0.849,0.154,0.128,119.981
Painkiller,Ruel,SAD,377725,213507,2019,68,0.683,0.42,5,-6.51,1,0.0542,0.0875,0.0,0.225,0.469,128.621
Scared to be lonely,Martin Garrix,SCARED,1755,220883,2017,77,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972
"Tajdar-E-Haram

",Atif Aslam,SCARED,197915,616509,2015,46,0.436,0.554,2,-6.635,1,0.0341,0.237,0.0,0.116,0.396,100.059
Thiunder,Imagine Dragons,SCARED,1706,187146,2017,1,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88
Hide and seek artist,Lizz Robinett,SCARED,7601,138800,2015,59,0.625,0.726,1,-2.144,1,0.031,0.335,0.0,0.273,0.5589999999999999,119.994
Don't move,Jeremy zucker,SCARED,271696,140360,2017,50,0.75,0.431,5,-10.093,1,0.312,0.778,0.0,0.132,0.554,124.088
Dance of death, Iron maiden,SCARED,1138018,517173,2011,16,0.298,0.868,4,-5.055,0,0.0879,0.0705,0.00691,0.139,0.3,130.457
Counting stars ,One republic ,SCARED,1432,257386,2014,62,0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014
 One, Metallica,SCARED,167447,317200,1996,38,0.552,0.907,1,-5.476,1,0.0329,0.00145,0.00353,0.0481,0.591,84.469
River flows in you,Yiruma,SCARED,38086,187431,2012,13,0.311,0.215,9,-21.376,1,0.0501,0.987,0.965,0.088,0.111,145.128
Sawan Aaya Hain,Arjeet singh,SCARED,147022,288177,2014,54,0.365,0.67,10,-7.51,0,0.221,0.26,1.43e-06,0.14,0.367,78.776
Top Tucker,Mohit Chauhan ,SCARED,350578,223499,2018,48,0.721,0.657,11,-8.304,1,0.0319,0.0322,0.00109,0.0618,0.454,132.97
Hanuman chalisa ,Hariharan,SCARED,67799,586076,1992,53,0.589,0.885,4,-3.4,1,0.035,0.545,0.0,0.132,0.831,91.01
Love$ick ,Mura Masa and A$AP Rocky,SCARED,305223,192160,2017,72,0.625,0.763,8,-4.997,0,0.129,0.147,0.0106,0.214,0.721,88.753
Losing it,Fisher,SCARED,327324,248036,2018,72,0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003
Lord I hope this day is good. ,Don Williams,SCARED,801146,243133,2004,25,0.575,0.459,2,-14.314,1,0.0299,0.359,0.00175,0.177,0.712,174.986
What a beautiful name,Hillsong,SCARED,125824,238200,2017,64,0.424,0.506,2,-5.877000000000002,1,0.0284,0.201,0.0,0.11,0.138,135.90200000000002
Hero ,Mariah Carey,SCARED,85280,257733,1993,71,0.501,0.378,4,-9.37,1,0.029,0.735,0.0,0.119,0.178,119.987
Without me,Eminem,SCARED,201,290320,2002,87,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238
We are the champions ,queen,SCARED,93453,180667,1977,51,0.476,0.455,10,-7.845,1,0.0298,0.255,0.0,0.101,0.189,94.504
Little lion man ,Mumford and sons,SCARED,998,245173,2009,68,0.517,0.492,5,-8.05,1,0.0272,0.0275,3.19e-05,0.0873,0.455,138.585
Rescue,Don moen ,SCARED,21169,331733,1990,39,0.725,0.652,1,-10.017,1,0.05,0.0201,6.759999999999999e-05,0.108,0.355,117.946
Samson Delilah,Davis,SCARED,837531,243360,2005,2,0.711,0.258,7,-12.447,1,0.0541,0.88,0.000303,0.126,0.737,112.079
Everythinggoes ,RM,SCARED,483799,113325,2021,53,0.66,0.144,9,-13.126,1,0.0419,0.889,0.951,0.101,0.196,140.038
Tum Ko dekha to ye khayal aya,Jagjit Singh ,SCARED,570161,175576,2022,9,0.214,0.449,7,-8.426,1,0.0382,0.869,0.128,0.152,0.0663,85.249
doll,Shrimp,SCARED,385245,142452,2019,53,0.454,0.725,2,-8.24,1,0.0343,0.126,0.618,0.0808,0.129,155.0
talk every night,dyl dion,SCARED,537689,130351,2022,44,0.705,0.5,9,-9.164,1,0.0277,0.351,0.0172,0.237,0.68,105.016
Moonboy,Bennett Coast,SCARED,428990,132231,2020,53,0.507,0.375,9,-10.637,1,0.0256,0.855,0.00981,0.11,0.0519,90.006
